"Date","Repo","Reverse Repo"
"29/08/2023","0","13.006"
"28/08/2023","0","12.94"
"22/08/2023","0","12.99"
"21/08/2023","0","12.783"
"17/08/2023","10.49","0"
"11/08/2023","8.936","0"
"10/08/2023","9.257","0"
"08/08/2023","0","11.379"
"07/08/2023","0","18.313"
"04/08/2023","0","17.483"
"02/08/2023","0","18.008"
"24/07/2023","9.72","12.085"
"17/07/2023","9.72","0"
"13/07/2023","9.124","0"
"12/07/2023","9.094","0"
"11/07/2023","9","0"
"10/07/2023","9.016","0"
"06/07/2023","8.43","0"
"05/07/2023","8.361","0"
"04/07/2023","9","0"
"30/06/2023","0","10.715"
"26/06/2023","0","9.77"
"19/06/2023","0","9.734"
"16/06/2023","0","9.692"
"08/06/2023","0","9.6"
"05/06/2023","0","9.6"
"30/05/2023","0","9.641"
"29/05/2023","0","15.988"
"28/05/2023","0","15.978"
"27/05/2023","0","15.798"
"25/05/2023","0","9.75"
"23/05/2023","0","9.569"
"22/05/2023","0","9.715"
"22/05/2023","0","15.256"
"18/05/2023","0","9.717"
"16/05/2023","0","9.695"
"15/05/2023","0","9.579"
"12/05/2023","0","10"
"11/05/2023","0","9.51"
"10/05/2023","0","9.8"
"09/05/2023","0","9.75"
"04/05/2023","0","9.8"
"03/05/2023","0","0"
"02/05/2023","0","10.213"
"28/04/2023","0","10.85"
"27/04/2023","0","10.119"
"25/04/2023","0","10.779"
"20/04/2023","0","10.679"
"17/04/2023","0","10.8"
"12/04/2023","0","10.5"
"31/03/2023","0","10.51"
"27/03/2023","0","10.45"
"23/03/2023","0","10.433"
"22/03/2023","0","10.423"
"21/03/2023","0","10.422"
"20/03/2023","0","10.417"
"13/03/2023","0","10.226"
"02/03/2023","0","10.1"
"27/02/2023","0","10.1"
"27/02/2023","0","10.1"
"23/02/2023","0","10.02"
"20/02/2023","0","10.478"
"17/02/2023","0","0"
"16/02/2023","0","10.15"
"15/02/2023","0","0"
"14/02/2023","0","10.416"
"13/02/2023","0","10.128"
"10/02/2023","0","0"
"09/02/2023","0","0"
"08/02/2023","0","10.337"
"06/02/2023","0","10.081"
"03/02/2023","0","0"
"02/02/2023","0","10.342"
"01/02/2023","0","0"
"31/01/2023","0","10.05"
"30/01/2023","0","0"
"27/01/2023","0","0"
"26/01/2023","0","0"
"25/01/2023","0","0"
"24/01/2023","0","10.044"
"23/01/2023","0","10.02"
"20/01/2023","0","0"
"19/01/2023","0","10"
"18/01/2023","0","0"
"17/01/2023","0","9.999"
"16/01/2023","0","9.999"
"13/01/2023","0","9.99"
"12/01/2023","0","10"
"11/01/2023","0","9.999"
"10/01/2023","0","10.022"
"10/01/2023","0","10.022"
"07/01/2023","0","0"
"06/01/2023","0","0"
"05/01/2023","0","9.996"
"04/01/2023","0","0"
"03/01/2023","0","10.006"
"03/01/2023","0","10.006"
"30/12/2022","0","0"
"29/12/2022","0","10.013"
"29/12/2022","0","10.013"
"28/12/2022","0","0"
"23/12/2022","0","9.999"
"22/12/2022","0","9.995"
"21/12/2022","0","9.9999"
"20/12/2022","0","9.999"
"19/12/2022","0","9.78"
"16/12/2022","0","9.75"
"15/12/2022","0","9.75"
